sa_code,sa_name,subtype,area_km2,intersection_count,junction_density,street_density_km_km2,avg_street_length_m,dead_end_ratio,circuity_avg,amenity_count,amenity_density,walkability_index
6a4d623b-9b54-467d-8339-fe670f675fcc,אביבים,locality,0.2873,14.0,48.727277407063575,28.95059968372903,166.35790757866246,0.7878787878787878,1.1805175977559461,5,17.402599073951276,48.3
57fdf796-7cb3-4094-8fe2-00ad0005e96e,עלמה,locality,0.8516,27.0,31.70485732522063,18.520822725680638,187.76686263974287,0.7428571428571429,1.106271795472356,3,3.5227619250245144,33.5
4a7cfd7c-a040-493b-abe4-657498002135,الريحانية,locality,0.3926,32.0,81.51797980662639,23.446929166310536,119.53410005921508,0.6097560975609756,1.0652166825910627,8,20.379494951656596,54.11
04c3abfa-111b-4902-8cc4-953cbee759e4,ברעם,locality,0.2956,31.0,104.86670066822681,35.51283721751815,128.0252426766053,0.6555555555555556,1.0947080975161316,7,23.679577570244764,64.02
49bbb281-e1b1-4ed0-85df-25d8c4a1804e,יראון,locality,0.346,25.0,72.2448611873531,36.45586310193104,113.65209708991377,0.831081081081081,1.2340262716937067,8,23.11835557995299,55.19
eb095165-fb8d-4997-bffd-c2d7847ed8de,דוב״ב,locality,0.3181,11.0,34.579301895142564,36.077400240961175,179.32123630541668,0.8829787234042553,1.9872721715117136,3,9.430718698675244,30.88
8de222e1-5ab0-41bf-a51d-0ec781d3d086,זרעית,locality,0.2421,4.0,16.5214775848357,34.794169872407934,382.90840946821294,0.84,1.1095537778008477,3,12.391108188626776,41.62
468f9602-2dd5-4820-a174-27f86f3eff9f,שתולה,locality,0.304,11.0,36.17871667766557,26.63528985415457,207.6501971616243,0.7380952380952381,1.0720388803406327,9,29.600768190817288,50.75
67a3bccb-54f5-4bc4-8abb-71f3c8ff7d01,אבן מנחם,locality,0.3561,9.0,25.270281418019483,26.34749109455611,180.4547647890736,0.8767123287671232,6.238556764751542,23,64.57960806827201,42.62
e2c75e4a-fd94-4d9d-b1ee-22fa6fbd42e8,נטועה,locality,0.272,12.0,44.11895473236279,33.502368631869864,246.28038301699186,0.7333333333333333,1.2579034957101625,6,22.059477366181394,48.78
656bbc92-117b-44bd-8c55-7deed64ee6a5,فسوطة,locality,11.0522,95.0,8.595558648367858,6.511782451915543,325.6545172297975,0.5476190476190477,1.1657972102965035,22,1.9905504238325564,19.37
a92116af-f15c-49fd-940d-b352b882a107,גרנות הגליל,locality,0.0963,14.0,145.42800792824588,56.62654223886723,143.45524356507403,0.6585365853658537,1.234623745530575,5,51.93857426008782,80.57
eab441c9-2645-48d4-8539-b96e92ab88fe,שומרה,locality,0.4457,29.0,65.06086791364278,35.78938785250927,227.8947789323319,0.5538461538461539,1.2154633928881104,25,56.086955097967916,64.78
136b8739-b63f-41aa-be5b-30fe72557779,العرامشة,locality,0.532,33.0,62.029253783671905,20.38589708807376,157.1803024136274,0.4107142857142857,1.0963276468353162,1,1.8796743570809669,42.98
9f9fb6ce-7bd3-4538-96ff-857925b071c4,אדמית,locality,0.2102,34.0,161.75975968412206,45.87028353962827,130.28911344530434,0.47692307692307695,1.2640845580782631,1,4.757639990709473,63.63
f315f18e-4ce6-4339-8e04-75dc8730d619,גורן,locality,0.6235,19.0,30.47223528663292,16.187167525144346,214.74461956734208,0.6122448979591837,1.1779839806132473,37,59.34066871607463,49.22
53000658-06b8-46ba-bda7-22aaa7bd5d8a,איילון,locality,0.6636,31.0,46.71303166641774,20.847019286155987,184.4617586189719,0.5866666666666667,1.2698241593471378,23,34.658055752503486,48.06
06c31cf7-1d24-4b23-ba9d-e1b717074db9,יערה,locality,0.5205,32.0,61.480408039333035,27.004199673718205,171.40784518171105,0.627906976744186,1.7124004905627197,17,32.66146677089568,47.68
0e441a27-9dc3-44e3-b560-b33875702a1f,עבדון,locality,0.5184,42.0,81.01346513493908,24.362226498346125,135.80823656458745,0.5,1.1105272543088471,17,32.791164459380106,58.9
